id;saldo_ant;quantidade;data;produto_id;entrada
1;83;23;2019-07-07;1;1
2;106;31;2019-08-01;1;0
3;54;48;2019-12-15;2;1
4;57;3;2019-08-19;2;0
5;9;83;2019-03-09;3;1
6;92;4;2019-11-01;3;0
7;92;92;2019-10-25;4;1
8;184;35;2019-11-28;4;0
9;14;36;2019-07-14;5;1
10;50;13;2019-10-09;5;0
11;83;26;2019-12-23;6;1
12;98;15;2019-05-11;6;0
13;2;24;2019-08-24;7;1
14;34;32;2019-06-03;7;0
15;1;3;2019-11-09;8;1
16;8;7;2019-06-16;8;0
17;30;57;2019-05-06;9;1
18;58;28;2019-01-11;9;0
19;11;53;2019-08-26;10;1
20;64;9;2019-11-04;10;0
21;42;8;2019-12-17;11;1
22;84;42;2019-01-07;11;0
23;11;42;2019-05-25;12;1
24;71;60;2019-05-07;12;0
25;47;17;2019-05-10;13;1
26;64;46;2019-12-12;13;0
27;78;85;2019-03-26;14;1
28;163;33;2019-07-22;14;0
29;36;8;2019-11-01;15;1
30;91;55;2019-06-24;15;0
31;71;12;2019-09-01;16;1
32;83;1;2019-09-15;16;0
33;29;76;2019-11-06;17;1
34;105;28;2019-11-25;17;0
35;80;54;2019-04-08;18;1
36;134;56;2019-04-24;18;0
37;0;95;2019-10-24;19;1
38;5;5;2019-04-22;19;0
39;14;5;2019-01-26;20;1
40;19;10;2019-11-23;20;0
41;92;15;2019-01-02;21;1
42;107;26;2019-02-28;21;0
43;66;24;2019-09-12;22;1
44;90;59;2019-09-28;22;0
45;20;83;2019-05-15;23;1
46;103;16;2019-12-07;23;0
47;21;83;2019-06-19;24;1
48;104;17;2019-10-28;24;0
49;55;88;2019-11-12;25;1
50;143;36;2019-12-28;25;0
51;5;62;2019-11-05;26;1
52;67;4;2019-12-22;26;0
53;19;72;2019-12-04;27;1
54;80;61;2019-04-03;27;0
55;32;94;2019-06-16;28;1
56;126;10;2019-08-14;28;0
57;23;91;2019-11-05;29;1
58;93;70;2019-06-12;29;0
59;44;71;2019-01-28;30;1
60;115;28;2019-07-03;30;0
61;25;44;2019-01-21;31;1
62;28;3;2019-01-02;31;0
63;30;82;2019-09-05;32;1
64;50;20;2019-01-01;32;0
65;47;23;2019-02-17;33;1
66;70;41;2019-03-24;33;0
67;60;46;2019-04-05;34;1
68;106;56;2019-08-26;34;0
69;27;83;2019-11-09;35;1
70;90;63;2019-05-05;35;0
71;14;26;2019-03-15;36;1
72;40;8;2019-10-25;36;0
73;87;20;2019-09-23;37;1
74;107;63;2019-12-08;37;0
75;100;14;2019-03-14;38;1
76;114;81;2019-03-17;38;0
77;13;34;2019-12-20;39;1
78;56;43;2019-08-03;39;0
79;49;86;2019-03-22;40;1
80;135;20;2019-07-23;40;0
81;8;47;2019-04-01;41;1
82;24;16;2019-02-01;41;0
83;84;81;2019-04-20;42;1
84;86;2;2019-03-21;42;0
85;83;60;2019-01-13;43;1
86;143;23;2019-05-15;43;0
87;1;77;2019-07-27;44;1
88;74;73;2019-04-28;44;0
89;24;45;2019-05-13;45;1
90;69;20;2019-08-17;45;0
91;9;91;2019-12-08;46;1
92;42;33;2019-05-28;46;0
93;58;79;2019-02-03;47;1
94;137;34;2019-02-24;47;0
95;57;45;2019-01-20;48;1
96;102;53;2019-04-10;48;0
97;5;59;2019-07-21;49;1
98;14;9;2019-07-11;49;0
99;19;1;2019-04-12;50;1
100;33;14;2019-02-20;50;0
101;11;33;2019-06-01;51;1
102;44;0;2019-09-05;51;0
103;92;44;2019-10-19;52;1
104;136;36;2019-12-07;52;0
105;82;42;2019-10-25;53;1
106;92;10;2019-08-01;53;0
107;27;60;2019-05-25;54;1
108;87;24;2019-07-21;54;0
109;62;63;2019-04-15;55;1
110;125;8;2019-05-14;55;0
111;42;19;2019-05-13;56;1
112;61;35;2019-12-20;56;0
113;40;11;2019-03-15;57;1
114;51;19;2019-05-07;57;0
115;7;71;2019-09-02;58;1
116;19;12;2019-08-25;58;0
117;20;35;2019-08-11;59;1
118;55;16;2019-12-23;59;0
119;57;47;2019-06-12;60;1
120;104;52;2019-09-02;60;0
121;4;11;2019-05-19;61;1
122;15;4;2019-09-13;61;0
123;97;19;2019-04-07;62;1
124;116;4;2019-11-08;62;0
125;36;99;2019-02-28;63;1
126;135;29;2019-08-24;63;0
127;18;79;2019-05-19;64;1
128;37;19;2019-04-26;64;0
129;8;50;2019-06-01;65;1
130;58;0;2019-06-24;65;0
131;43;77;2019-02-16;66;1
132;120;32;2019-07-07;66;0
133;93;37;2019-09-26;67;1
134;130;9;2019-10-13;67;0
135;87;21;2019-06-17;68;1
136;108;30;2019-06-19;68;0
137;21;18;2019-04-16;69;1
138;39;6;2019-10-26;69;0
139;64;63;2019-03-25;70;1
140;95;31;2019-01-16;70;0
141;18;75;2019-01-18;71;1
142;93;9;2019-08-01;71;0
143;43;18;2019-04-14;72;1
