id;nm_produto;qtd_estoque;qtd_min;situacao;ativo;categoria_id;unidade_medida_id
1;Acebrofilina ;75;2;37.5;1;1;1
2;Acetilcisteína 600 mg pó;102;2;51.0;1;1;1
3;agulha 4 mm;88;2;44.0;1;1;1
4;Amiodarona 200mg;149;2;74.5;1;1;1
5;Amitriptilina 25mg;37;2;18.5;1;1;1
6;Amoxicilina 500mg + clav. 125;109;2;54.5;1;1;1
7;Atadura 12 cm;26;2;13.0;1;1;1
8;Atorvastatina 10mg;4;2;2.0;1;1;1
9;Atorvastatina 20 mg;87;2;43.5;1;1;1
10;Atorvastatina 40 mg;55;2;27.5;1;1;1
11;Baby med;50;2;25.0;1;1;1
12;Betaistina 24 mg;53;2;26.5;1;1;1
13;Biperideno 2mg;18;2;9.0;1;1;1
14;Bromidrato de galantamina 16MG;130;2;65.0;1;1;1
15;Buscopan GTS;44;2;22.0;1;1;1
16;Buscopan composto;82;2;41.0;1;1;1
17;Carbamazepina 200mg;77;2;38.5;1;1;1
18;Carvedilol 6,25;78;2;39.0;1;1;1
19;Cetaconazol shapoo;95;2;47.5;1;1;1
20;Cetoconazol pomada;9;2;4.5;1;1;1
21;Cilostazol 100mg;81;2;40.5;1;1;1
22;Cilostazol 50mg;31;2;15.5;1;1;1
23;cimegrip;87;2;43.5;1;1;1
24;Ciprofloxacino 500 mg;87;2;43.5;1;1;1
25;Citalopram 20 mg;107;2;53.5;1;1;1
26;Citoneurim 5.000 5.;63;2;31.5;1;1;1
27;Clopidogrel 75 mg;91;2;45.5;1;1;1
28;Colplexo B;116;2;58.0;1;1;1
29;Debridan pomada;114;2;57.0;1;1;1
30;Diclofenaco de dietilamônio;87;2;43.5;1;1;1
31;Dipirona 1g;69;2;34.5;1;1;1
32;Dipirona 500 mg;112;2;56.0;1;1;1
33;Donaren 150 mg;29;2;14.5;1;1;1
34;Donaren 50 mg;50;2;25.0;1;1;1
35;Donila/Duo 10/20;110;2;55.0;1;1;1
36;Duloxetina 30 mg;32;2;16.0;1;1;1
37;Escitalopran 10 mg;44;2;22.0;1;1;1
38;Escitalopran 15 mg;33;2;16.5;1;1;1
39;Esomeprazol 20 mg;47;2;23.5;1;1;1
40;Espirolactona 50 mg;115;2;57.5;1;1;1
41;fenobarbital 100mg;55;2;27.5;1;1;1
42;flexalgim;165;2;82.5;1;1;1
43;Fluoxetina 20 mg;120;2;60.0;1;1;1
44;Forxiga 10 mg;78;2;39.0;1;1;1
45;Frasco de dieta enteral;49;2;24.5;1;1;1
46;Galantamina 16 mg;100;2;50.0;1;1;1
47;Glicazida 30 mg;103;2;51.5;1;1;1
48;Granado (pó antisséptico);49;2;24.5;1;1;1
49;Hidralazina 50 mg;64;2;32.0;1;1;1
50;Imipramina 25mg;20;2;10.0;1;1;1
51;Lacrifilme colírio;44;2;22.0;1;1;1
52;Lavitan A a Z;100;2;50.0;1;1;1
53;levofloxacino 500mg;124;2;62.0;1;1;1
54;Lidocaína POMADA;63;2;31.5;1;1;1
55;Lisinopril 10mg;117;2;58.5;1;1;1
56;listerine/ Fluor;26;2;13.0;1;1;1
57;Melatonina 6 mg;32;2;16.0;1;1;1
58;Melotonina 5mg;78;2;39.0;1;1;1
59;Memantina 10 mg;39;2;19.5;1;1;1
60;Miconazol pomada;52;2;26.0;1;1;1
61;Mirtazapina 30mg;11;2;5.5;1;1;1
62;Nistatina + oxido de zinco;112;2;56.0;1;1;1
63;Nitrofurantoina 100 mg;106;2;53.0;1;1;1
64;Oleo de girassol;97;2;48.5;1;1;1
65;Oleo Mineral;58;2;29.0;1;1;1
66;Oncilon pomada;88;2;44.0;1;1;1
67;Omeprazol 20 mg;121;2;60.5;1;1;1
68;Pantoprazol 40mg;78;2;39.0;1;1;1
69;Pioglitazona 30 mg;33;2;16.5;1;1;1
70;Predinisona 20mg ;127;2;63.5;1;1;1
